user_id,ISBN,rating
276747,0060517794,9
276747,0671537458,9
276747,0679776818,8
276754,0684867621,8
276755,0451166892,5
276762,0380711524,5
276796,0330332775,5
276798,3548603203,6
276804,0440498058,8
276811,0440414121,10
276813,8426449476,8
276822,0060096195,10
276822,0141310340,9
276822,0375821813,9
276822,038076041X,10
276822,0786817070,10
276847,3404148576,8
276847,3404921178,7
276847,3423071516,10
276847,3442413508,10
276847,3442435773,8
276847,3442437717,7
276847,3442441080,10
276847,3442444020,8
276847,3442446414,10
276847,3442448530,7
276847,347354034X,7
276847,3551551677,10
276847,3551551685,10
276847,3551551693,10
276847,3551551936,10
276847,359621078X,9
276847,360893541X,10
276847,3608935428,10
276847,3608935436,10
276850,0449217264,7
276861,3423201509,10
276861,360893541X,9
276861,3608935428,9
276861,3608935436,9
276866,3404139178,9
276866,345309221X,8
276872,042518109X,8
276872,0425188221,7
276896,0440241537,10
276905,0060542845,8
276911,8420636282,9
276925,002542730X,10
276925,0140154078,6
276925,0385504209,8
276925,0553275283,8
276925,063403541X,6
276925,8420432113,5
276925,950491036X,10
276929,2020564777,6
276929,2070404587,10
276929,2253171670,8
276929,2264031158,6
276929,2266102621,10
276929,2266104535,2
276936,3596122279,5
276939,2070419657,7
276939,2253063339,9
276939,2253137243,9
276939,2253144452,9
276939,226612269X,9
276939,8423310353,8
276953,0446310786,10
276954,3423118709,10
276964,0345348672,10
276964,0345354621,10
276964,0425104273,9
276964,0440220602,9
276964,0684867621,8
276964,0812550307,10
276964,0843949163,8
276964,0886773741,7
276964,0886774802,8
276964,0886774829,8
276964,0886775426,9
276964,0886775957,10
276986,0060930187,10
276986,0375760911,10
276986,0689817851,10
276986,0874869870,10
276994,3257062354,8
276994,3423202327,6
276994,3492045170,7
276994,3548359698,6
276994,3596214629,8
276998,0618045996,8
277012,0553581112,9
277018,0373250223,7
277036,0812511816,9
277036,0880381736,9
277036,0880381744,10
277048,3426615355,7
277051,0330262130,10
277051,0385720920,10
277051,0553262505,7
277051,3453171500,7
277056,3442451353,7
277085,0434009407,8
277087,8423918335,6
277087,8472230082,5
277094,0064404773,10
277096,0064407667,7
277107,081297106X,10
277107,0843951826,5
277143,031286504X,10
277143,0345342968,9
277143,0767903382,8
277157,0312331754,7
277157,0312979517,5
277157,0316154059,5
277157,0345450175,6
277157,0345452550,7
277157,0399146504,7
277157,0399146687,7
277157,0399147101,7
277157,0399148337,6
277157,0399148639,6
277157,0399148728,8
277157,0399151451,7
277157,0425183181,5
277157,0671024094,7
277157,0679450408,6
277157,074320607X,7
277157,0743486226,7
277157,0812571118,5
277168,0671032658,4
277171,0449213730,8
277171,0451173139,7
277171,0486282406,10
277171,0553580930,9
277171,080410946X,8
277179,0440414806,10
277179,0679767800,7
277187,0679745203,9
277188,0525945636,4
277189,074341232X,8
