,user_id,ISBN,rating
16,276747,0060517794,9
19,276747,0671537458,9
20,276747,0679776818,8
28,276754,0684867621,8
29,276755,0451166892,5
33,276762,0380711524,5
86,276796,0330332775,5
97,276798,3548603203,6
109,276804,0440498058,8
113,276811,0440414121,10
120,276813,8426449476,8
133,276822,0060096195,10
134,276822,0141310340,9
137,276822,0375821813,9
138,276822,038076041X,10
145,276822,0786817070,10
177,276847,3404148576,8
178,276847,3404921178,7
179,276847,3423071516,10
186,276847,3442413508,10
188,276847,3442435773,8
189,276847,3442437717,7
190,276847,3442441080,10
192,276847,3442444020,8
193,276847,3442446414,10
194,276847,3442448530,7
199,276847,347354034X,7
210,276847,3551551677,10
211,276847,3551551685,10
212,276847,3551551693,10
213,276847,3551551936,10
214,276847,359621078X,9
216,276847,360893541X,10
217,276847,3608935428,10
218,276847,3608935436,10
238,276850,0449217264,7
289,276861,3423201509,10
295,276861,360893541X,9
296,276861,3608935428,9
297,276861,3608935436,9
307,276866,3404139178,9
315,276866,345309221X,8
328,276872,042518109X,8
329,276872,0425188221,7
392,276896,0440241537,10
400,276905,0060542845,8
404,276911,8420636282,9
413,276925,002542730X,10
418,276925,0140154078,6
429,276925,0385504209,8
438,276925,0553275283,8
443,276925,063403541X,6
473,276925,8420432113,5
517,276925,950491036X,10
524,276928,059030271X,5
528,276928,0671021354,10
544,276929,2020564777,6
550,276929,2070404587,10
566,276929,2253171670,8
576,276929,2264031158,6
586,276929,2266102621,10
587,276929,2266104535,2
616,276936,3596122279,5
628,276939,2070419657,7
629,276939,2253063339,9
630,276939,2253137243,9
631,276939,2253144452,9
634,276939,226612269X,9
640,276939,8423310353,8
648,276953,0446310786,10
654,276954,3423118709,10
683,276964,0345348672,10
684,276964,0345354621,10
688,276964,0425104273,9
691,276964,0440220602,9
698,276964,0684867621,8
701,276964,0812550307,10
702,276964,0843949163,8
703,276964,0886773741,7
704,276964,0886774802,8
705,276964,0886774829,8
706,276964,0886775426,9
707,276964,0886775957,10
734,276986,0060930187,10
735,276986,0375760911,10
736,276986,0689817851,10
737,276986,0874869870,10
752,276994,3257062354,8
755,276994,3423202327,6
761,276994,3492045170,7
765,276994,3548359698,6
768,276994,3596214629,8
770,276998,0618045996,8
777,277012,0553581112,9
780,277018,0373250223,7
790,277036,0812511816,9
792,277036,0880381736,9
793,277036,0880381744,10
813,277048,3426615355,7
819,277051,0330262130,10
820,277051,0385720920,10
822,277051,0553262505,7
828,277051,3453171500,7
831,277053,0590108395,6
832,277056,3442451353,7
842,277085,0434009407,8
851,277087,8423918335,6
860,277087,8472230082,5
864,277094,0064404773,10
865,277096,0064407667,7
869,277107,081297106X,10
870,277107,0843951826,5
897,277143,031286504X,10
898,277143,0345342968,9
903,277143,0767903382,8
909,277157,0312331754,7
911,277157,0312979517,5
913,277157,0316154059,5
916,277157,0345450175,6
917,277157,0345452550,7
928,277157,0399146504,7
929,277157,0399146687,7
930,277157,0399147101,7
