"Informazioni cronologiche","I am taking the Python course because...","Code experience. Here ""code/ing"" refer to your favourite programming language, not necessarily Python (yet!):","Experience with Python:","I am (/was) writing and using Python code mostly with (choose everything you have been using):","In Python, I have already (you can leave all options empty):","In Python, you can compare variables using:","In python, how do you start a conditional clause?","How can you (and should!) insert comments in Python code? ","How do you define a list in Python?","Hw do you define a dictionary in Python?","How can you define a loop over the list my_list in Python?","A Python function can take:","The __init__(...) method of a class:","""AClass"" is a class with a property ""a_property"". ""an_obj"" is an object instantiated from AClass. Which of the following assignments are correct:","The experiments that I am performing/analysing for my PhD include:","I would really like to learn how to...(max 3 answers)"
"2023/02/20 6:48:58 PM EET","I never wrote code for my work, but I would like/need to;I want to understand nerdy jokes","I have done some coding at the University, but I have never used code for my work","I do not know anything about Python","","","","","","","","","","","","Human behavior - psychophysics tasks);Modelling - statistical models;Neural networks","Implement behavioural tasks;Learn to use git and GitHub;Perform dimensionality reduction / statistical model fitting"
"2023/02/20 6:56:44 PM EET","I am coding in other languages, but I want to know what is this Python people are talking about","I write my own scripts for experiments/analysis","I have learned about it in a course, but never used it","Spyder;Google Colab","defined functions (even basic ones);written pip-installable modules;rage quitted",">=","if x > y: ...","# This is a comment","[1, 2, 3]","Both options are correct","for n in my_list: ...","Not sure","Not sure","Not sure","MRI/fMRI","Analyse imaging data;Learn best practices for publishing code;Perform dimensionality reduction / statistical model fitting"
"2023/02/20 7:01:51 PM EET","I am coding in other languages, but I want to know what is this Python people are talking about;I want to understand nerdy jokes","I write my own scripts for experiments/analysis","I know hot to run Python scripts/notebooks but I have never coded","Spyder;Jupiter Notebook / Lab","used existing scripts/interfaces that do not require coding (DeepLabCut, lab pipelines, etc.)","Not sure","Not sure","# This is a comment","Not sure","Not sure","for n in my_list: ...","Not sure","Not sure","Not sure","MRI/fMRI;DTI;Anatomical registrations","Analyse imaging data;Create interactive graphic interfaces;Make beautiful visualisations;Understand the structure of my local Python installation;Learn to use git and GitHub;Learn best practices for publishing code;Learn best practices for publishing a dataset"
"2023/02/20 7:04:27 PM EET","I am coding in other languages, but I want to know what is this Python people are talking about","I write my own scripts for experiments/analysis","I do not know anything about Python","","","","","","","","","","","","Human behavior - questionnaires;Modelling - statistical models;ECG acquisition and analysis","Analyse qualitative data (behavioural tasks, questionnaires...);Implement behavioural tasks;Perform dimensionality reduction / statistical model fitting;use Natural Language Processing tools, which I still don't know anything about but I'm very interested in"
"2023/02/20 8:33:35 PM EET","I am coding in other languages, but I want to know what is this Python people are talking about","I write my own scripts for experiments/analysis","I have been writing some Python code on my own","Spyder;PyCharm;Other text editors (Notepad++, etc.)","used existing scripts/interfaces that do not require coding (DeepLabCut, lab pipelines, etc.);defined functions (even basic ones);defined classes;used numpy;read any kind of real data from file sources;used matplotlib or other libraries for plot generation;used pandas","=","if x > y: ...","# This is a comment","[1, 2, 3]","{""a"": 1, ""b"": 2, ""c"": 3}","for n in my_list: ...","Both answers are correct","Is called when an object of that class is instantiated","v = an_obj.a_property()","Electrophysiology in humans - EEG/MEG;Human behavior - psychophysics tasks)","Analyse time series;Analyse qualitative data (behavioural tasks, questionnaires...);Create interactive graphic interfaces;Implement behavioural tasks;Make beautiful visualisations;Just get my f*****g p-values"
"2023/02/21 12:40:45 AM EET","I am using Python for my work, and I want to know more about it;People in my lab are using Python, and I want to know more about it;I am coding in other languages, but I want to know what is this Python people are talking about;I want to understand nerdy jokes","I write my own scripts for experiments/analysis","I have been writing some Python code on my own","Jupiter Notebook / Lab;PyCharm","used existing scripts/interfaces that do not require coding (DeepLabCut, lab pipelines, etc.);defined functions (even basic ones);defined classes;used numpy;used matplotlib or other libraries for plot generation;used pandas;read images","<>","if x > y: ...","# This is a comment","Not sure","Not sure","for n in my_list: ...","Not sure","Is called when the class is defined","v = an_obj.a_property()","Animal behavior - video analysis;Electrophysiology in animals - extracellular spikes;Microscopy - any kind of microscope producing static images;Microscopy  - any kind of microscope producing static videos;Optogenetics;Anatomical registrations","Analyse imaging data;Analyse time series;Create interactive graphic interfaces;Make beautiful visualisations;Understand the structure of my local Python installation;Learn to use git and GitHub;Learn best practices for publishing code;Learn best practices for publishing a dataset;Perform dimensionality reduction / statistical model fitting"
"2023/02/21 10:45:55 AM EET","I am coding in other languages, but I want to know what is this Python people are talking about","I know how to read the scripts I use and modify them in some parts","I do not know anything about Python","","","","","","","","","","","","MRI/fMRI;Human behavior - questionnaires;Human behavior - psychophysics tasks)","Analyse qualitative data (behavioural tasks, questionnaires...);Implement behavioural tasks;Make beautiful visualisations"
"2023/02/21 11:26:22 AM EET","I never wrote code for my work, but I would like/need to","I know how to read the scripts I use and modify them in some parts","I do not know anything about Python","","","","","","","","","","","","Human behavior - questionnaires","Analyse qualitative data (behavioural tasks, questionnaires...);Implement behavioural tasks;Make beautiful visualisations"
"2023/02/21 11:46:31 AM EET","People in my lab are using Python, and I want to know more about it;I never wrote code for my work, but I would like/need to;I want to understand nerdy jokes","I have never written a line of code","I do not know anything about Python","","","","","","","","","","","","Electrophysiology in animals - EEG/LFP;Optogenetics;MRI/fMRI","Analyse imaging data;Learn to use git and GitHub"
"2023/02/21 12:57:43 PM EET","I am using Python for my work, and I want to know more about it;I am coding in other languages, but I want to know what is this Python people are talking about","I write my own scripts for experiments/analysis and I share them in the lab","I know hot to run Python scripts/notebooks but I have never coded","Jupiter Notebook / Lab","used existing scripts/interfaces that do not require coding (DeepLabCut, lab pipelines, etc.);used numpy;used matplotlib or other libraries for plot generation;read images",">=","Not sure","# This is a comment","[1, 2, 3]","Not sure","for n in my_list: ...","Not sure","Not sure","v = an_obj.a_property()","MRI/fMRI","Analyse imaging data;Analyse time series;Make beautiful visualisations;Learn to use git and GitHub;Learn best practices for publishing code;Learn best practices for publishing a dataset;Perform dimensionality reduction / statistical model fitting"
"2023/02/21 1:00:15 PM EET","I am using Python for my work, and I want to know more about it;I am coding in other languages, but I want to know what is this Python people are talking about;I want to understand nerdy jokes;I want to reach enlightenment through the Zen of Python (peps.python.org/pep-0020)","I write my own scripts for experiments/analysis","I have been writing some Python code on my own","Jupiter Notebook / Lab;Google Colab;PyCharm","used existing scripts/interfaces that do not require coding (DeepLabCut, lab pipelines, etc.);defined functions (even basic ones);defined classes;used numpy;used pandas;run neural networks","Not sure","if x > y: ...","# This is a comment","[1, 2, 3]","Both options are correct","for n in my_list: ...","Both answers are correct","Is called when an object of that class is instantiated","v = an_obj.a_property","Molecular biology;Animal behavior - behavioural tasks;Animal behavior - video analysis;Microscopy - any kind of microscope producing static images;Microscopy  - any kind of microscope producing static videos;Modelling - statistical models;Neural networks","Analyse time series;Implement behavioural tasks;Understand the structure of my local Python installation"
"2023/02/21 1:57:34 PM EET","People in my lab are using Python, and I want to know more about it;I never wrote code for my work, but I would like/need to","I have done some coding at the University, but I have never used code for my work","I do not know anything about Python","","","","","","","","","","","","Molecular biology;Animal behavior - behavioural tasks;Animal behavior - video analysis;Microscopy - any kind of microscope producing static images","Implement behavioural tasks;Make beautiful visualisations;Just get my f*****g p-values"
"2023/02/21 2:01:14 PM EET","I am using Python for my work, and I want to know more about it;I am coding in other languages, but I want to know what is this Python people are talking about","I write my own scripts for experiments/analysis","I have been writing some Python code on my own","Spyder;Jupiter Notebook / Lab;PyCharm;Visual studio Code","used existing scripts/interfaces that do not require coding (DeepLabCut, lab pipelines, etc.);defined functions (even basic ones);used numpy;read any kind of real data from file sources;used matplotlib or other libraries for plot generation;used pandas",">=","if x > y: ...","# This is a comment","[1, 2, 3]","Both options are correct","for n in my_list: ...","Both answers are correct","Is called when the class is defined","Not sure","Animal behavior - behavioural tasks;Animal behavior - video analysis;Electrophysiology in humans - EEG/MEG;Human behavior - questionnaires;Human behavior - psychophysics tasks);Human behavior - video analysis","Analyse qualitative data (behavioural tasks, questionnaires...);Create interactive graphic interfaces;Perform dimensionality reduction / statistical model fitting"
"2023/02/23 11:55:23 AM EET","I am using Python for my work, and I want to know more about it;People in my lab are using Python, and I want to know more about it","I know how to open and run scripts from other people, but I cannot read them","I do not know anything about Python","","","","","","","","","","","","Animal behavior - behavioural tasks;Animal behavior - video analysis;Electrophysiology in animals - EEG/LFP;Microscopy  - any kind of microscope producing static videos;Optogenetics;MRI/fMRI;Anatomical registrations;Ultrasound imaging","Analyse imaging data;Analyse time series;Analyse qualitative data (behavioural tasks, questionnaires...);Implement behavioural tasks;Make beautiful visualisations;Learn best practices for publishing a dataset;Just get my f*****g p-values"
"2023/02/25 10:25:26 PM EET","I never wrote code for my work, but I would like/need to","I know how to read the scripts I use and modify them in some parts","I do not know anything about Python","","","","","","","","","","","","Human behavior - psychophysics tasks)","Learn to use git and GitHub"
"2023/02/27 4:44:54 PM EET","People in my lab are using Python, and I want to know more about it;I never wrote code for my work, but I would like/need to","I have done some coding at the University, but I have never used code for my work","I do not know anything about Python","","","","","","","","","","","","Electrophysiology in animals - extracellular spikes","Analyse imaging data;Analyse time series;Make beautiful visualisations"
"2023/02/27 5:09:06 PM EET","I am using Python for my work, and I want to know more about it","I write my own scripts for experiments/analysis and I share them in the lab","I have been writing some Python code on my own","Jupiter Notebook / Lab;Google Colab","defined functions (even basic ones);used numpy;read any kind of real data from file sources;used pandas;read images;run neural networks","<>","if x > y: ...","# This is a comment","[1, 2, 3]","Both options are correct","for n in my_list: ...","Both answers are correct","Is called when an object of that class is instantiated","v = an_obj.a_property()","Electrophysiology in humans - EEG/MEG;MRI/fMRI;Human behavior - psychophysics tasks);Modelling - statistical models;Neural networks","Analyse imaging data;Analyse time series;Analyse qualitative data (behavioural tasks, questionnaires...);Create interactive graphic interfaces;Make beautiful visualisations;Learn best practices for publishing code;Learn best practices for publishing a dataset;Perform dimensionality reduction / statistical model fitting;Working with DNN"
